證券代碼,年月,營收成長率,ROE(A)－稅後
2207 和泰車,202506,-5.7,4.59
2208 台船,202506,151.21,-22.8
2211 長榮鋼,202506,8.54,4.5
2221 大甲,202506,14.54,2
2227 裕日車,202506,-37.97,-0.93
2228 劍麟,202506,2.42,1.75
2230 泰茂,202506,5.74,-1.71
2231 為升,202506,-16.45,-4.78
2233 宇隆,202506,-10.97,2.09
2235 謚源,202506,8.39,-1.31
2236 百達-KY,202506,442.78,-1.79
2237 華德動能,202506,,4.28
2239 英利-KY,202506,-12.69,0.7
2241 艾姆勒,202506,-14.09,-1.28
2243 宏旭-KY,202506,-19.98,9.84
2245 詠勝昌*,202506,3.33,6.03
2246 凱勝綠能,202506,-55.48,-6.29
2247 汎德永業,202506,-6.42,4.02
2248 華勝-KY,202506,-14.32,2.76
2249 湧盛,202506,,1.32
2250 IKKA-KY,202506,-3.9,1.67
2252 為昇科,202506,-17.88,-20.86
2254 巨鎧精密-創,202506,-31.29,0.28
2255 凱銳光電,202506,34,-18.93
2256 歐特明,202506,-4.08,-20.75
2258 鴻華先進-創,202506,-67.09,-4.02
2301 光寶科,202506,21.44,3.7
2302 麗正,202506,6.44,0.66
2303 聯電,202506,3.45,2.43
2305 全友,202506,13.67,-1.21
2308 台達電,202506,19.91,5.47
2312 金寶,202506,-6.64,1
2313 華通,202506,7.8,1.97
2314 台揚,202506,-36.06,-21.69
2316 楠梓電,202506,4.11,7.31
2317 鴻海,202506,15.67,2.85
2321 東訊,202506,17.33,0.63
2323 中環,202506,-8.25,3.49
2324 仁寶,202506,-23.93,0.66
2327 國巨*,202506,4.31,3.23
2328 廣宇,202506,5.26,1.67
2329 華泰,202506,29.64,3.48
2330 台積電,202506,38.65,8.62
2331 精英,202506,7.7,-0.49
2332 友訊,202506,-15.31,-1.16
2337 旺宏,202506,5.33,-2.95
2338 光罩,202506,-20.42,-13.98
2340 台亞,202506,6.48,-5.39
2342 茂矽,202506,10.73,-2.41
2344 華邦電,202506,-2.17,-1.7
2345 智邦,202506,148.25,12.69
2347 聯強,202506,-6.88,1.98
2348 海悅,202506,-8.08,1.73
2349 錸德,202506,19.13,-1.34
2351 順德,202506,-6.81,-0.52
2352 佳世達,202506,7.23,0.61
2353 宏碁,202506,-0.9,1.69
2354 鴻準,202506,205.41,0.52
2355 敬鵬,202506,-1.86,0.58
2356 英業達,202506,21.03,3.33
2357 華碩,202506,29.74,3.61
2359 所羅門,202506,37.05,-2.96
2360 致茂,202506,17.05,8.26
2362 藍天,202506,-15.3,-0.56
2363 矽統,202506,1168.73,3.65
2364 倫飛,202506,26.35,1.72
2365 昆盈,202506,-11.72,-0.33
2367 燿華,202506,-16.01,0.46
2368 金像電,202506,44.71,8.28
2369 菱生,202506,-0.27,-2.71
2371 大同,202506,2.66,0.57
2373 震旦行,202506,-9.49,3.26
2374 佳能,202506,52.05,1.15
2375 凱美,202506,1.73,0.22
2376 技嘉,202506,38.33,6
2377 微星,202506,31.38,2.69
2379 瑞昱,202506,4.04,8.82
2380 虹光,202506,18.78,35.78
2382 廣達,202506,62.64,8.62
2383 台光電,202506,45.69,9.98
2384 勝華,202506,-68.89,
2385 群光,202506,-0.73,5.13
2387 精元,202506,-22.56,-0.05
2388 威盛,202506,-28.2,-2.89
2390 云辰,202506,-8.25,-2.31
2392 正崴,202506,-0.37,-16.04
2393 億光,202506,-8.75,1.62
2395 研華,202506,21.8,4.13
2397 友通,202506,29.44,2.51
2399 映泰,202506,-14.23,-2.81
2401 凌陽,202506,-4.58,0.48
2402 毅嘉,202506,17.51,3.26
2404 漢唐,202506,30.02,11.94
2405 輔信,202506,-4.45,-1.65
2406 國碩,202506,-44.2,-7.34
2408 南亞科,202506,6.1,-2.58
2409 友達,202506,-6.85,1.21
2412 中華電,202506,4.83,2.69
2413 環科,202506,7,-7.45
2414 精技,202506,33.87,3.03
2415 錩新,202506,5.18,1.74
2417 圓剛,202506,0.29,-3.14
2419 仲琦,202506,-1.89,-0.55
2420 新巨,202506,3.1,2.91
2421 建準,202506,26.83,4.75
2423 固緯,202506,8.69,2.93
2424 隴華,202506,59.67,-8.94
2425 承啟,202506,244.05,-6.51
2426 鼎元,202506,2.66,-0.53
2427 三商電,202506,147.57,1.99
2428 興勤,202506,5.4,2.71
2429 銘旺科,202506,28.42,-5.08
2430 燦坤,202506,-4.53,0
2431 聯昌,202506,22.13,-1.72
2432 倚天酷碁-創,202506,19.98,1.46
2433 互盛電,202506,-3.74,2.34
2434 統懋,202506,-16.56,-4.04
2436 偉詮電,202506,24.5,0.48
2438 翔耀,202506,40.4,-3.58
2439 美律,202506,0.31,0.61
2440 太空梭,202506,-22.37,-2.43
2441 超豐,202506,8.41,2.11
2442 新美齊,202506,116.59,1.2
2443 昶虹,202506,,-14.22
2444 兆勁,202506,-5.62,-10.24
2449 京元電子,202506,94.21,4.74
2450 神腦,202506,-1.61,1.36
2451 創見,202506,38.53,2.37
2453 凌群,202506,10.34,2.92
2454 聯發科,202506,18.15,7.19
2455 全新,202506,-18.45,1.15
2457 飛宏,202506,-7.09,-3.53
2458 義隆,202506,-3.8,3.23
2459 敦吉,202506,-7.31,2.76
2460 建通,202506,-11.44,-5.8
2461 光群雷,202506,-8.46,-2.84
2462 良得電,202506,1.87,-3.61
2464 盟立,202506,-6.17,-2.4
2465 麗臺,202506,2.32,5.2
2466 冠西電,202506,-23.18,-7.97
2467 志聖,202506,11.91,4.95
2468 華經,202506,11.07,1.3
2471 資通,202506,15.17,0.57
2472 立隆電,202506,6.41,2.67
2474 可成,202506,8.82,-0.63
2476 鉅祥,202506,9.89,0.49
2477 美隆電,202506,-8.7,2.92
2478 大毅,202506,12.22,1.29
2480 敦陽科,202506,21.97,6.83
2481 強茂,202506,3.64,2.04
2482 連宇,202506,-11.66,-4.31
2483 百容,202506,-6.88,4.01
2484 希華,202506,25.34,-0.48
2485 兆赫,202506,-32.81,-4.16
2486 一詮,202506,19.38,-0.39
2488 漢平,202506,2.67,3.2
2489 瑞軒,202506,8.94,-0.02
2491 吉祥全,202506,-14.83,5.34
2492 華新科,202506,7.46,-0.45
2493 揚博,202506,0.96,1.79
2495 普安,202506,-16.26,-3.79
2496 卓越,202506,4.66,2.03
2497 怡利電,202506,-6.84,-0.77
2498 宏達電,202506,-9.33,-2.96
2501 國建,202506,43.29,4.59
2504 國產,202506,6.98,3.89
2505 國揚,202506,89.44,0.58
2506 太設,202506,-41.96,-0.79
2509 全坤建,202506,-89.19,-0.91
2511 太子,202506,-2.23,0.58
2514 龍邦,202506,-4.03,0.86
2515 中工,202506,-10.7,0.66
2516 新建,202506,10.98,1
2520 冠德,202506,-48.38,1.57
2524 京城,202506,-32.33,0.04
2527 宏璟,202506,-99.02,-0.23
2528 皇普,202506,376009.96,4.33
2530 華建,202506,93.4,9.58
2534 宏盛,202506,651.66,2.58
2535 達欣工,202506,46.88,4.3
2536 宏普,202506,1444.85,3.19
2537 聯上發,202506,-85.82,-0.49
2538 基泰,202506,-89.88,-2.17
2539 櫻花建,202506,207.2,2.3
2540 愛山林,202506,74.63,3.67
2542 興富發,202506,-51.99,0.64
2543 皇昌,202506,-33.95,3.57
2545 皇翔,202506,11.2,6.71
2546 根基,202506,52.41,4.99
2547 日勝生,202506,-21.41,-0.08
2548 華固,202506,16.17,1.87
2596 綠意,202506,456.36,2.82
2597 潤弘,202506,14.87,8.85
2599 樂揚,202506,29.06,-0.5
2601 益航,202506,-15.8,-1.81
2603 長榮,202506,-18.66,1.96
2605 新興,202506,-5.79,0.7
2606 裕民,202506,-13.25,1.75
2607 榮運,202506,-19.43,2.06
2608 嘉里大榮,202506,5.88,2.51
2609 陽明,202506,-26.48,0.31
2610 華航,202506,2.12,4.44
2611 志信,202506,3.43,1.32
2612 中航,202506,8.13,2.82
2613 中櫃,202506,4.26,1.11
2614 東森,202506,-3.5,3.03
2615 萬海,202506,-8.67,0.42
2616 山隆,202506,-32.94,-5.38
2617 台航,202506,-9.43,1.02
2618 長榮航,202506,-0.12,5.36
2630 亞航,202506,9.47,2.48
2633 台灣高鐵,202506,1.8,2.27
2634 漢翔,202506,-7.53,-1.27
2636 台驊控股,202506,-17.01,3.5
2637 慧洋-KY,202506,-31.18,0.97
2640 大車隊,202506,3.17,6.52
2641 正德,202506,39.66,2.89
2642 宅配通,202506,-2.68,0.54
2643 捷迅,202506,68.95,0.25
2644 中信造船,202506,2.81,0.29
2645 長榮航太,202506,17.22,2.2
2646 星宇航空,202506,29.17,0.03
2701 萬企,202506,-20.09,0.88
2702 華園,202506,-6.39,-5.2
2704 國賓,202506,3.4,0.95
2705 六福,202506,8.15,-0.37
2706 第一店,202506,4.37,1.01
2707 晶華,202506,13.81,9.02
2712 遠雄來,202506,306.98,-1.47
2718 全心投控,202506,2170.05,13.89
2719 燦星旅,202506,-9,-4.25
2722 夏都,202506,-8.69,-0.71
2723 美食-KY,202506,-1.28,1.12
2724 藝舍-KY,202506,-21.7,-0.75
2726 雅茗-KY,202506,13.42,-5.96
2727 王品,202506,2.25,6.91
2729 瓦城,202506,-3.45,2.95
2731 雄獅,202506,4.93,8.15
2732 六角,202506,0.91,-1.31
2733 維格餅家,202506,-17.93,-10.35
2734 易飛網,202506,107.81,-2.37
2736 富野,202506,49.28,-3.34
2739 寒舍,202506,4.28,2.64
2740 華軒,202506,-39,-24.67
2741 老四川,202506,-5.16,0.77
2743 山富,202506,-4.09,-4.55
2745 五福,202506,5.93,3.72
2748 雲品,202506,3.06,-0.95
2750 桃禧,202506,16.05,-0.76
2751 王座,202506,18.82,4.7
2752 豆府,202506,11.76,7.1
2753 八方雲集,202506,10.12,4.97
2754 亞洲藏壽司,202506,21.29,2.52
2755 揚秦,202506,21.84,6.11
2756 聯發國際,202506,84.29,3.24
2758 路易莎咖啡,202506,,2.59
